Namespace(co_lambda=0.65, dataset='CARS', epoch_decay_start=80, exponent=1, forget_rate=None, lr=5e-05, model_type='B', n_epoch=50, noise_rate=0.7, noise_type='symmetric', num_gradual=10, num_workers=4, print_freq=50, result_dir='results', seed=1, top_bn=False)
iter train_acc1 train_acc2 val_p11 val_map1 val_p12 val_map2 test_acc1 test_map1 test_acc2 test_map2
1 1.1625 1.1625 0.12574404761904762 0.0074262744502349275 0.12549603174603174 0.007010001943777486 0.1284722222222222 0.007790386924270809 0.12375992063492064 0.0075121384993784785
2 1.275 1.075 0.13690476190476192 0.008060338808920065 0.12227182539682539 0.007347693069083444 0.13616071428571427 0.008478703237335386 0.1277281746031746 0.007634413634586154
3 1.675 1.65 0.1597222222222222 0.00945810640930981 0.1480654761904762 0.009293331765670645 0.14856150793650794 0.009048138835616738 0.14186507936507936 0.008484274182832258
4 2.1375 1.8375 0.21279761904761904 0.015980197958038296 0.20362103174603174 0.015536081314176359 0.22172619047619047 0.015596588518194744 0.21031746031746032 0.015480462038848581
5 2.7625 2.725 0.31994047619047616 0.03256298878089991 0.30183531746031744 0.03014870643133317 0.3541666666666667 0.0358169617856531 0.31919642857142855 0.033142457218408826
6 4.525 4.3125 0.37549603174603174 0.04201779748320909 0.3529265873015873 0.03952825763156146 0.3923611111111111 0.046664700647935604 0.3759920634920635 0.04468882599681763
7 6.825 6.4875 0.4255952380952381 0.052306621683313216 0.42137896825396826 0.05466047407957036 0.45882936507936506 0.06404896503065681 0.4541170634920635 0.06378782881158929
8 9.225 8.7125 0.47867063492063494 0.06521662934025485 0.46726190476190477 0.06362282463405315 0.5205853174603174 0.0790161447616675 0.4992559523809524 0.073592511649783
9 10.725 10.275 0.49330357142857145 0.0725088369839973 0.49702380952380953 0.07226106103236582 0.5471230158730159 0.08610645451891967 0.5186011904761905 0.08249229682107838
10 13.3 12.8875 0.5260416666666666 0.08323458437776725 0.5153769841269841 0.07972573058797025 0.5602678571428571 0.09991798817780694 0.5359623015873016 0.08883509276415037
11 14.7375 14.75 0.5478670634920635 0.08993740023192383 0.5297619047619048 0.08417117339341755 0.5771329365079365 0.10375293903724374 0.5545634920634921 0.09447323068067529
12 15.8875 15.875 0.5426587301587301 0.09053107547968621 0.5277777777777778 0.08569398500573283 0 0 0 0
13 17.1875 17.075 0.5602678571428571 0.09245866188025846 0.5476190476190477 0.08847235451968082 0.5979662698412699 0.10805302070891384 0.5726686507936508 0.10206261390905044
14 18.3375 18.5125 0.5617559523809523 0.09241351559942791 0.5515873015873016 0.09059440237723905 0.5912698412698413 0.10652086944525234 0.582093253968254 0.10680893050538483
15 18.9875 19.15 0.5612599206349206 0.09303898447446267 0.5473710317460317 0.0889289607155189 0 0 0 0
16 19.65 19.625 0.5617559523809523 0.09318463865663985 0.5456349206349206 0.09062622774569562 0 0 0 0
17 20.625 20.475 0.5550595238095238 0.09211408694452655 0.5528273809523809 0.09134568510592776 0 0 0 0
18 21.875 21.6 0.5525793650793651 0.09104100541922745 0.5513392857142857 0.09109445881237398 0 0 0 0
19 22.3375 21.9125 0.5483630952380952 0.09217247791402287 0.5558035714285714 0.09175268882175082 0 0 0 0
20 22.5375 22.3875 0.5486111111111112 0.09109804415347944 0.5476190476190477 0.09060171458822003 0 0 0 0
21 23.9 23.7625 0.5530753968253969 0.0907457398209139 0.548859126984127 0.09027456373523643 0 0 0 0
22 23.9375 23.725 0.5550595238095238 0.09286401951920253 0.5478670634920635 0.09107445688725334 0 0 0 0
23 24.4375 24.6 0.5533234126984127 0.09267962229600515 0.5426587301587301 0.08983829268932648 0 0 0 0
24 25.2125 25.2625 0.5560515873015873 0.09020556879641951 0.5498511904761905 0.0909097582199485 0 0 0 0
25 25.0125 25.3125 0.5513392857142857 0.0887157752833781 0.5461309523809523 0.08887608256892036 0 0 0 0
26 25.575 25.7875 0.5530753968253969 0.09037837488548818 0.5498511904761905 0.08909759952429501 0 0 0 0
27 26.2125 26.1875 0.5491071428571429 0.09120627888237322 0.5520833333333334 0.09051600338790353 0 0 0 0
28 26.85 26.975 0.5567956349206349 0.09020549601441341 0.5513392857142857 0.08936144705387676 0 0 0 0
29 26.675 26.7875 0.5473710317460317 0.09015257978835586 0.5386904761904762 0.08814784929307028 0 0 0 0
30 27.3625 27.275 0.5451388888888888 0.08889255762602691 0.5431547619047619 0.08916498484311268 0 0 0 0
31 27.7 27.5625 0.5491071428571429 0.08892291083063408 0.542906746031746 0.08872161153597811 0 0 0 0
